Datum ID,Indexed Field,NomicAtlasTopicDepth1,NomicAtlasTopicDepth2,NomicClaudeTopicDepth1,NomicClaudeTopicDepth2
0,"Develop Department of Defense data centers with security characteristics sufficient to withstand nation-state cyberattacks, capable of storing and analyzing Top Secret and Sensitive Compartmentalized Information. This would require both hardware and software innovations that could eventually benefit the private sector.
",Energy Infrastructure,Construction,Energy Systems,Industry Centers
1,"Invest in basic and applied research across a range of AI approaches that address requirements like safety, robustness, privacy preservation, interpretability, and explainability. This should include:
• Funding both broad-based application-agnostic AI research and specific application-driven AI research.
• Funding interdisciplinary and cross-sectoral collaborations between domain experts and AI researchers.
• Funding application-specific enabling infrastructure such as simulation environments and test beds.
",Science Partnerships,Science,Research Funding,Science Grants
2,"Federal agencies should develop and implement appropriate guidelines and processes for the use of AI in federal grant review processes. This includes:
• Addressing use or limitations of AI in review or decisioning by reviewers and program officers,
• Developing checks in the review process for AI issues like sufficient disclosure and validation,
• Implementing paths for identifying and interrupting potential biases,
• Considering privacy, consent, and intellectual property issues, especially for sensitive data.
",Content Creation,Performance Assurance,Content & Models,Model Evaluation
3,"Ensure the federal government has appropriate resources to attract, train, empower, and retain a skilled AI workforce. Invest in human capital and supporting tools to ensure the government is well-versed in the latest AI innovations. Focus civilian, defense, and intelligence agencies on data ontologies, APIs, and fine grain access controls.
",Government operations,Government,Infrastructure,Gov Services
4,"Develop guidelines and regulations for copyright, attribution, and intellectual property in the context of training large language models.
",Content Creation,Content Licensing,Content & Models,Copyright Issues
5,"Create a regulatory environment that allows American AI companies to scale computing capability in a timely and cost-efficient manner. This includes:
• Streamlining permitting processes for energy infrastructure and data centers,
• Addressing regulatory barriers that block construction of essential AI infrastructure,
• Treating computing power as a strategic resource, similar to oil or precious minerals,
• Modernizing the power grid to meet increasing energy demands from AI and other electrified technologies.
",Government operations,Energy infrastructure,Infrastructure,Power Grid
6,"Establish five specialized AI innovation hubs across the United States, each with distinct focus areas:
• National Security AI Zone (Northern Virginia): Defense, intelligence, and critical infrastructure applications.
• Healthcare AI Zone (Boston/Cambridge): Medical diagnostics, drug discovery, and healthcare delivery optimization.
• Financial Services AI Zone (New York): Financial risk management, fraud detection, and market analysis.
• Manufacturing and Supply Chain AI Zone (Detroit/Pittsburgh): Industrial automation, predictive maintenance, and supply chain resilience.
• Agricultural and Climate AI Zone (California Central Valley): Sustainable agriculture, resource management, and climate adaptation.
",Government operations,Infrastructure Resilience,Infrastructure,Critical Systems
7,"Invest in developing evaluation frameworks that accurately represent the variety of potential AI applications and users across different contexts. This would enable broader oversight compared to developer-run private evaluations that are not currently comparable and have limited scrutiny.
",Content Creation,Performance Assurance,Content & Models,Model Evaluation
8,"Maintain and expand funding and staff for the AI Safety Institute (AISI) to continue evaluating frontier AI models, developing standards, and assessing new risks. AISI is positioned to assess foreign models, track U.S. progress compared to adversaries, and keep agency leadership informed about emerging risks.
",Risk Management,Cybersecurity standards,Regulation,NIST Standards
9,"Position American universities and tech companies as the premier hubs for AI education and training. Strengthen US-led AI certification programs, university partnerships, and technical training initiatives in developing economies to solidify US leadership in AI knowledge transfer.
",Workforce Development,Education (2),Workforce Dev,Learning Tools
10,"Increase federal funding for AI research and development through agencies such as NSF, DARPA, and NIH. Focus investments on explainable AI (XAI), privacy-preserving AI techniques (e.g., federated learning, differential privacy, homomorphic encryption), and AI safety mechanisms that defend against adversarial attacks and bias.
",Science Partnerships,Science,Research Funding,Science Grants
11,"Modernize HIPAA to address AI complexities in healthcare by:
• Establishing explicit AI regulations for Protected Health Information (PHI) usage in AI models,
• Requiring AI transparency in clinical recommendations, patient triage, and diagnostics,
• Implementing regular bias and fairness audits for AI models to prevent discrimination in healthcare.
",Healthcare Privacy,Healthcare,Data Privacy,Healthcare Data
12,"Establish a structured ""push-pull"" mechanism for accelerating AI adoption across the federal government. This includes:
• Creating a Federal AI Center of Excellence to serve as the primary research and development hub in partnership with national laboratories and academic institutions,
• Developing AI toolkits and frameworks that agencies can adopt and customize for their specific needs,
• Establishing a shared services model with reusable components and interoperability standards for common use cases,
• Implementing pooled funding mechanisms where multiple agencies with overlapping needs can co-finance AI innovation.
",Government operations,Government,Infrastructure,Gov Services
13,"Building on prior OMB AI Guidance, the administration should improve the effectiveness of federal AI use by:
• Standardizing responsible AI principles and characteristics across agencies.
• Including sample contract terms for providers of safety-impacting and rights-impacting AI systems.
• Listing agency AI marketplaces that enable faster procurement of AI systems.
",Government operations,Government,Infrastructure,Gov Services
14,"The administration should invest in the development and deployment of AI solutions specifically designed for Community Health Centers, including funding for pilot projects, infrastructure upgrades, and workforce training. This would help health centers remain competitive, keep up with changing technology, and provide better patient care.
",Science Partnerships,Healthcare (2),Research Funding,Healthcare Payment
15,"The AI Action Plan should support programs to train STEM graduates through targeted investment in AI, semiconductor, computer science, and computer engineering-related fields across all qualification levels (2-year, 4-year, graduate). It should also recommend funding workforce development programs and AI infrastructure at research universities to ensure nationwide access to hands-on training.
",Workforce Development,Workforce Development (2),Workforce Dev,Career Programs
16,"Implement measures to prevent AI companies from scraping publications' content without permission or compensation, especially when the content creators have explicitly denied permission through ROBOTS.TXT settings and firewall blocks.
",Content Creation,Copyright,Content & Models,Creator Rights
17,"Design tiered AI governance requirements that are scaled appropriately for companies of different sizes and maturity levels. This can be accomplished through:
• Tiered requirements,
• Small business exceptions, and/or
• Regulatory sandboxes. Additionally, provide block grants to states so they may complement the NAIRR with research, data, and compute endeavors specific to their state economies and needs.
",Risk Management,Regulatory Governance,Regulation,Risk Framework
18,"Provide funding to support the development of a coordinated initiative for roadmapping, certifying, collecting, and sharing high-quality datasets in the life sciences. This effort should:
• Engage nonprofit research organizations and the broader scientific community,
• Identify critical data types for predictive modeling,
• Establish rigorous quality control and open science standards,
• Develop automated data collection methodologies,
• Certify data providers,
• Subsidize the secure hosting of open datasets.
",Science Partnerships,Machine Learning,Research Funding,Model Validation
19,"Establish regulations that protect healthcare organizations utilizing AI without creating additional overhead or increasing liability. This includes implementing a standardized AI label to provide clarity and accountability while minimizing unnecessary burdens on healthcare providers.
",Risk Management,Healthcare (3),Regulation,Medical Oversight
20,"Require educational AI tools to adhere to stricter guidelines than those offered to the broader public, including compliance with FERPA, COPPA, and state laws. Implement clear penalties for companies that violate regulations while encouraging development of AI tools specifically designed for education.
",Content Creation,Online Safety,Content & Models,Child Protection
21,"Support both greater healthcare data access and robust data protection measures, especially where data falls outside of HIPAA protections.
",Healthcare Privacy,Healthcare,Data Privacy,Healthcare Data
22,"Deploy agentic AI solutions to enhance federal workforce productivity through automation of key workflows. This approach would:
• Automate repetitive HR and administrative tasks,
• Enable workers to focus on high-value activities,
• Support skill development and upskilling through AI tools, and
• Transform complex processes like recruitment and onboarding to make them faster and more efficient.
",Workforce Development,Workforce Automation,Workforce Dev,Labor Transition
23,"Maintain the existing intellectual property framework that fuels AI innovation while making specific improvements. This includes:
• Affirming that existing IP laws are sufficient to govern AI technologies.
• Protecting and improving the USPTO's Inter Partes Review program to permit efficient review of AI patents.
• Protecting access to publicly available information for training AI models.
",Content Creation,Intellectual Property,Content & Models,IP Protection
24,"Strengthen regulatory expertise in AI, foster public-private information sharing, and support use of AI for compliance. This includes:
• Developing dedicated regulatory innovation offices,
• Ensuring agency hiring of AI subject-matter experts,
• Creating fintech and regtech advisory committees,
• Modernizing regulatory infrastructure with API-enabled reporting and machine-readable rulebooks,
• Encouraging adoption of AI-driven solutions for regulatory compliance.
",Risk Management,Rural development,Regulation,Policy Awareness
25,"Implement policies that support industry-based AI innovation while maintaining necessary safety measures. This includes:
• Reducing regulatory barriers that limit new AI innovations,
• Supporting diverse AI development beyond major companies,
• Fostering industry-academia collaboration for research and development,
• Creating public-private partnerships for AI education and workforce development.
",Risk Management,Rural development,Regulation,Policy Awareness
26,"Create a balanced AI governance framework that includes:
• Encouraging public participation in policy-making for diverse perspectives.
• Implementing regular audits of AI systems for transparency.
• Forming a dedicated AI regulatory body to oversee development and deployment.
• Implementing blockchain-based AI governance for ethical, transparent, and accountable use.
",Risk Management,Regulatory Governance,Regulation,Risk Framework
27,"Recognize that 'Health AI' encompasses diverse applications with different risk profiles. The recommendation calls for:
• Differentiating between health AI use cases such as administrative, clinical, billing, and others, considering their differing risk profiles for patient safety and data security.
• Identifying top challenges facing the American healthcare system and developing strategies for how AI can address them.
• Anticipating the potential impact of Artificial General Intelligence (AGI) on healthcare.
",Content Creation,Healthcare (4),Content & Models,Clinical Use
28,"Hold technology companies accountable for:
• Implementing narrowly-scoped, privacy- and free-speech preserving mitigations that work to stop the output of sexual deepfakes by generative AI models
• Preventing the promotion and monetization of tools dedicated to ""nudification""
• Stopping the upload of sexual deepfakes to online platforms
• Removing CSAM and non-consensual images of adults from training data
",Content Creation,Online Safety,Content & Models,Child Protection
29,"Establish a minimal level of federal guidance to prevent a patchwork of state regulations while supporting domain-specific regulatory approaches. The framework should:
• Develop open standards for AI system interoperability,
• Establish principles for data access and governance,
• Create guidance for explainability and transparency requirements,
• Identify security and resilience requirements for critical systems,
• Clarify intellectual property protection for AI systems, and
• Strengthen the patent process for AI-related products.
",Risk Management,Regulatory Governance,Regulation,Risk Framework
30,"Prioritize cybersecurity as a key element in federal procurement policy for AI-enabled products and services. Include contractual terms requiring vendors to demonstrate advanced security protections, as AI tools can introduce new attack vectors and vulnerabilities.
",Government operations,Cybersecurity,Infrastructure,Cyber Defense
