team,season_start,season_end,narrative,head_coach,win_percentage,division_rank,made_playoffs,made_conference_finals,made_finals,won_championship,conference_rank
Atlanta Hawks,1968,1969,"The 1968–69 Atlanta Hawks season was the team's first season in Atlanta, 20th in the NBA, and 23rd overall. The Hawks relocated from St. Louis, where the franchise played the previous thirteen seasons. Lenny Wilkens was traded to the Seattle SuperSonics in exchange for Walt Hazzard,[1] who would help lead the Hawks to a second-place finish with a record of 48 wins and 34 losses. In the playoffs, the Hawks eliminated the San Diego Rockets in six games. In the Western Conference Finals, the Hawks challenged the Los Angeles Lakers; the Lakers would eliminate the Hawks in 5 games.[1]",Richie Guerin,0.585,2.0,True,False,False,False,
Atlanta Hawks,1969,1970,The 1969–70 NBA season was the Hawks' 21st season in the NBA and second season in the city of Atlanta.[1],Richie Guerin,0.585,1.0,True,False,False,False,
Atlanta Hawks,1970,1971,The 1970–71 NBA season was the Hawks' 22nd season in the NBA and third season in Atlanta.[1],Richie Guerin,0.439,2.0,True,False,False,False,5.0
Atlanta Hawks,1971,1972,The 1971–72 NBA season was the Hawks' 23rd season in the NBA and fourth season in Atlanta.[1],Richie Guerin,0.439,2.0,True,False,False,False,4.0
Atlanta Hawks,1972,1973,"The 1972–73 NBA season was the Hawks' 24th season in the NBA and fifth season in Atlanta.[1] The team moved their home games from the Alexander Memorial Coliseum to The Omni Coliseum.  The Hawks registered a 46–36 record during the regular-season, but went 2–4 against the Boston Celtics in postseason.",Cotton Fitzsimmons,0.561,2.0,True,False,False,False,4.0
Atlanta Hawks,1973,1974,"The 1973–74 Atlanta Hawks season was the 28th season of the franchise, 27th in the National Basketball Association (NBA). Although ""Pistol"" Pete Maravich finished second in the league in scoring with 27.7 points per game, the Hawks missed the playoffs for the first time in 12 seasons. Following the season, the Hawks would trade Maravich to the expansion New Orleans Jazz in exchange for Dean Meminger, Bob Kauffman, and four draft picks.[1]",Cotton Fitzsimmons,0.427,2.0,False,False,False,False,5.0
Atlanta Hawks,1974,1975,"The 1974–75 NBA season was the Hawks' 26th season in the NBA and seventh season in Atlanta.[1] An unusually high total of eight Hawk players averaged double figures in points per game for the season, though Lou Hudson only played in eleven games.[1]",Cotton Fitzsimmons,0.378,4.0,False,False,False,False,8.0
Atlanta Hawks,1975,1976,The 1975–76 NBA season was the Hawks' 27th season in the NBA and eighth season in Atlanta.[1],Cotton Fitzsimmons  Bumper Tormohlen,0.354,5.0,False,False,False,False,9.0
Atlanta Hawks,1976,1977,The 1976–77 NBA season was the Hawks' 28th season in the NBA and ninth season in Atlanta.[1],Hubie Brown,0.378,6.0,False,False,False,False,9.0
Atlanta Hawks,1977,1978,The 1977–78 NBA season was the Hawks' 29th season in the NBA and 10th season in Atlanta.[1],Hubie Brown,0.5,4.0,True,False,False,False,6.0
Atlanta Hawks,1978,1979,The 1978–79 NBA season was the Hawks' 30th season in the NBA and 11th season in Atlanta.[1],Hubie Brown,0.561,3.0,True,False,False,False,5.0
Atlanta Hawks,1979,1980,The 1979–80 NBA season was the Hawks' 31st season in the NBA and 12th season in Atlanta.[1],Hubie Brown,0.61,1.0,True,False,False,False,2.0
Atlanta Hawks,1980,1981,The 1980–81 NBA season was the Hawks' 32nd season in the NBA and 13th season in Atlanta.[1],Hubie Brown (fired)Mike Fratello (interim),0.378,4.0,False,False,False,False,8.0
Atlanta Hawks,1981,1982,The 1981–82 NBA season was the Hawks' 33rd season in the NBA and 14th season in Atlanta.[1],Kevin Loughery,0.512,2.0,True,False,False,False,6.0
Atlanta Hawks,1982,1983,"The 1982–83 Atlanta Hawks season was the franchise's thirty-fourth season in the National Basketball Association and fifteenth in Atlanta, Georgia. Prior to the start of the season, the Hawks made a blockbuster trade. The franchise sent John Drew and Freeman Williams to the Utah Jazz in exchange for first round draft pick Dominique Wilkins, a star at the University of Georgia.[1] Wilkins would make an impact as he averaged 17.5 points per game. The Hawks finished in second place with a 43–39 record. In the playoffs, the Hawks would however be eliminated 2–1 by the Boston Celtics.[1]",Kevin Loughery (3rd season),0.524,2.0,True,False,False,False,6.0
Atlanta Hawks,1983,1984,The 1983–84 NBA season was the Hawks' 35th season in the NBA and 16th season in Atlanta.[1],Mike Fratello,0.488,3.0,True,False,False,False,7.0
Atlanta Hawks,1984,1985,The 1984–85 NBA season was the Hawks' 36th season in the NBA and 17th season in Atlanta.[1],Mike Fratello (2nd Season),0.415,5.0,False,False,False,False,9.0
Atlanta Hawks,1985,1986,"The 1985–86 Atlanta Hawks season was the franchise's thirty-seventh season in the National Basketball Association and the eighteenth in Atlanta, Georgia. The Hawks entered the season with rookies Jon Koncak and Spud Webb. The Hawks were transformed into one of the youngest teams in the NBA. The Hawks were led by ""The Human Highlight Reel"" Dominique Wilkins. He would have an outstanding year as he led the NBA in scoring with an average of 30.3 points per game. One of the highlights of the season came when Webb (measuring five feet, seven inches) won the NBA Slam Dunk contest during All-Star Weekend. In the second half of the season, the Hawks would be one of the strongest teams in the league. The club won 35 of their final 52 games to finish the season with a record of 50 wins and 32 losses. In the playoffs, the Hawks would eliminate the Detroit Pistons in 4 games. In the 2nd round, the Hawks would be defeated by the Boston Celtics in 5 games.[1]",Mike Fratello,0.61,2.0,True,False,False,False,4.0
Atlanta Hawks,1986,1987,"The 1986–87 NBA season was the Hawks' 38th season in the NBA and their 19th season in the city of Atlanta.[1] The Hawks finished first place in the Central Division with a franchise-best record of 57–25. Dominique Wilkins made the All-NBA Second Team, and was selected for the 1987 NBA All-Star Game. In the first round of the playoffs, the Hawks defeated the Indiana Pacers in four games, but lost in five games to the 3rd-seeded Detroit Pistons in the semifinals.",Mike Fratello,0.695,1.0,True,False,False,False,2.0
Atlanta Hawks,1987,1988,"The 1987–88 NBA season was the Hawks' 39th season in the NBA and 20th season in Atlanta, in the U.S. state of Georgia.[1] The Hawks got off to a 6–5 start to the season, then won 16 of their next 18 games, and held a 30–15 record at the All-Star break.[2] The team posted a 7-game winning streak between March and April,[3] but then lost six of their final nine games, finishing third in the Central Division with a 50–32 record.[4] Dominique Wilkins averaged 30.7 points, 6.4 rebounds and 1.3 steals per game, and was named to the All-NBA Second Team, while Doc Rivers averaged 14.2 points, 9.3 assists and 1.8 steals per game. Wilkins and Rivers were both selected for the 1988 NBA All-Star Game, with head coach Mike Fratello coaching the Eastern Conference.[5][6] In addition, Kevin Willis provided the team with 11.6 points and 7.3 rebounds per game, while Randy Wittman contributed 10.0 points and 3.7 assists per game, Cliff Levingston provided with 10.0 points and 6.1 rebounds per game, and Tree Rollins averaged 6.0 rebounds and led the team with 1.7 blocks per game. Off the bench, John Battle contributed 10.6 points per game, and Antoine Carr averaged 8.8 points and 3.6 rebounds per game.[7] In the Eastern Conference First Round of the playoffs, the Hawks defeated the Milwaukee Bucks in five games.[8][9] In the Eastern Conference Semi-finals, they took a 3–2 series lead over Larry Bird and the top-seeded Boston Celtics.[10][11][12] However, the Hawks would lose Game 6 at The Omni, 102–100,[13][14][15] then lose Game 7 at the Boston Garden, 118–116, thus losing the series in seven games.[16][17][18] This was the closest Wilkins had ever gotten to advancing to the conference finals. Following the season, Wittman was traded to the Sacramento Kings,[19][20][21] and Rollins signed as a free agent with the Cleveland Cavaliers.[22][23][24]",Mike Fratello,0.61,3.0,True,False,False,False,4.0
Atlanta Hawks,1988,1989,"The 1988–89 NBA season was the Hawks' 40th season in the NBA and 21st season in Atlanta.[1] After falling into the second round of the playoffs for three straight seasons, the Hawks signed free agent and All-Star forward Moses Malone, who won a championship with the Philadelphia 76ers in the 1983 NBA Finals,[2][3][4][5][6] acquired All-Star guard Reggie Theus from the Sacramento Kings,[7][8][9][10] and signed undrafted rookie forward Duane Ferrell during the off-season.[11][12] However, Kevin Willis was out with a broken foot suffered during the preseason, and was later on suspended indefinitely for missing functions and rehabilitation therapy.[13][14][15][16] After winning their first three games of the season, the Hawks struggled losing six of their next nine games, leading to a 6–6 start. However, the team went on a six-game winning streak between November and December,[17][18] posting an 11–3 record in December, and holding a 28–19 record at the All-Star break.[19] The Hawks posted a nine-game winning streak in April,[20] winning 12 of their final 14 games, finishing third in the Central Division with a 52–30 record, and reaching 50 wins for the fourth consecutive season.[21] Dominique Wilkins averaged 26.2 points, 6.9 rebounds and 1.5 steals per game, and was named to the All-NBA Third Team, while Malone averaged 20.2 points and 11.8 rebounds per game, and Theus provided the team with 15.8 points, 4.7 assists and 1.4 steals per game. In addition, Doc Rivers provided with 13.6 points, 6.9 assists and 2.4 steals per game, while John Battle contributed 9.5 points per game off the bench, Cliff Levingston averaged 9.2 points and 6.2 rebounds per game, and Jon Koncak contributed 6.1 rebounds and 1.3 blocks per game.[22] Wilkins and Malone were both selected for the 1989 NBA All-Star Game, which was Malone's final All-Star appearance.[23][24][25][26][27] In the Eastern Conference First Round of the playoffs, the Hawks faced off against the 5th-seeded Milwaukee Bucks for the second consecutive year. However, after winning Game 1 at home, 100–92,[28][29][30] the Hawks would lose to the Bucks in five games.[31][32][33][34] Following the season, Theus was left unprotected in the 1989 NBA Expansion Draft, where he was selected by the newly expansion Orlando Magic.[35][36][37][38][39] One notable highlight of the season was the Hawks defeating the Philadelphia 76ers, 135–93 at The Omni on April 5, 1989; the Hawks got off to an 18–2 lead early in the game, and held a 78–37 lead at halftime. At one point during the game, they led by 50 points with a 130–80 lead late in the fourth quarter, when Hawks forward Antoine Carr hit a technical free throw with 2 minutes and 53 seconds left in the game.[40][41][42][43]",Mike Fratello,0.634,3.0,True,False,False,False,4.0
Atlanta Hawks,1989,1990,"The 1989–90 NBA season was the Hawks' 41st season in the National Basketball Association, and 22nd season in Atlanta.[1] Injuries would hamper the Hawks again, as Doc Rivers only played just 48 games due to a herniated disk in his back.[2][3][4] Despite the injuries, they went on a 7-game winning streak in December with a 13–6 record. However, in January they lost six consecutive games falling below .500, holding a 22–24 record at the All-Star break,[5] and endangering their playoff chances. At midseason, the team traded Antoine Carr to the Sacramento Kings in exchange for Kenny Smith.[6][7][8] The Hawks would close out the season on a strong note winning ten of their final 15 games finishing sixth in the Central Division with a 41–41 record.[9] However, they ended up one game short of the playoffs. Dominique Wilkins averaged 26.7 points, 6.5 rebounds and 1.6 steals per game, and was selected for the 1990 NBA All-Star Game,[10][11][12][13] but was not selected to an All-NBA Team at season's end, while Moses Malone averaged 18.9 points and 10.0 rebounds per game, and Rivers provided the team with 12.5 points, 5.5 assists and 2.4 steals per game. In addition, Kevin Willis provided with 12.4 points and 8.0 rebounds per game, while John Battle contributed 10.9 points per game, and Spud Webb averaged 9.2 points, 5.8 assists and 1.3 steals per game off the bench.[14] Wilkins also won the Slam Dunk Contest during the All-Star Weekend in Miami, Florida, with Smith (then with the Kings), finishing second behind Wilkins.[15][16][17] Following the season, Smith was traded to the Houston Rockets,[18][19][20] while Cliff Levingston signed as a free agent with the Chicago Bulls,[21][22] and head coach Mike Fratello resigned after coaching the Hawks for seven seasons.[23][24][25]",Mike Fratello,0.5,6.0,False,False,False,False,9.0
Atlanta Hawks,1990,1991,"The 1990–91 NBA season was the Hawks' 42nd season in the National Basketball Association, and 23rd season in Atlanta.[1] During the off-season, the Hawks signed free agent All-Star guard Sidney Moncrief, who came out of his retirement.[2][3] Under new head coach Bob Weiss,[4] the Hawks won their first three games. However, after a 4–1 start, they lost nine consecutive games in November, but went on to win 20 of their next 25 games including a 7-game winning streak, and held a 26–21 record at the All-Star break.[5] The Hawks finished fourth in the Central Division with a 43–39 record.[6] Dominique Wilkins averaged 25.9 points, 9.0 rebounds and 1.5 steals per game, and was named to the All-NBA Second Team, and was selected for the 1991 NBA All-Star Game.[7][8] In addition, Doc Rivers averaged 15.2 points and 1.9 steals per game, while Spud Webb provided the team with 13.4 points, 5.6 assists and 1.6 steals per game, and Kevin Willis provided with 13.1 points and 8.8 rebounds per game. Off the bench, Moses Malone played a sixth man role averaging 10.6 points and 8.1 rebounds per game, and John Battle contributed 13.6 points per game.[9] Wilkins also finished in eighth place in Most Valuable Player voting.[10] In the Eastern Conference First Round of the playoffs, the Hawks faced the defending champion Detroit Pistons. The Hawks won Game 1 at The Palace of Auburn Hills, 103–98,[11][12] but would lose the next two games. After winning Game 4 at The Omni, they lost the series in five games.[13][14][15][16] Following the season, Rivers was traded to the Los Angeles Clippers,[17][18][19] while Webb was dealt to the Sacramento Kings,[20][21] Malone signed as a free agent with the Milwaukee Bucks,[22][23][24] Battle signed with the Cleveland Cavaliers,[25][26] and Moncrief retired.",Bob Weiss,0.524,4.0,True,False,False,False,6.0
